symbol,name,isin,exchange,series,sector,industry,tags
GPPL,Gujarat Pipavav Port Limited,INE517F01014,NSE,EQ,,Port & Port services,niftymicrocap250|smallcap
GRANULES,Granules India Limited,INE101D01020,NSE,EQ,,Pharmaceuticals,nifty500|niftysmallcap250|midcap
GRAPHITE,Graphite India Limited,INE371A01025,NSE,EQ,,Electrodes & Refractories,nifty500|niftysmallcap250|midcap
GRASIM,Grasim Industries Limited,INE047A01021,NSE,EQ,,Cement & Cement Products,nifty50|nifty100|nifty500|largecap
GRAVITA,Gravita India Limited,INE024L01027,NSE,EQ,,Industrial Minerals,nifty500|niftysmallcap250|midcap
GREAVESCOT,Greaves Cotton Limited,INE224A01026,NSE,EQ,,Compressors Pumps & Diesel Engines,niftymicrocap250|smallcap
GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,NSE,EQ,,Stockbroking & Allied,nifty500|niftymidcap150|midcap
GRSE,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,NSE,EQ,,Aerospace & Defense,nifty500|niftysmallcap250|midcap
GRWRHITECH,Garware Hi-Tech Films Limited,INE291A01017,NSE,EQ,,Plastic Products - Industrial,niftymicrocap250|smallcap
GSFC,Gujarat State Fertilizers & Chemicals Limited,INE026A01025,NSE,EQ,,Fertilizers,niftymicrocap250|smallcap
GSPL,Gujarat State Petronet Limited,INE246F01010,NSE,EQ,,Gas Transmission/Marketing,nifty500|niftysmallcap250|midcap
GVT&D,GE Vernova T&D India Limited,INE200A01026,NSE,EQ,,Heavy Electrical Equipment,nifty500|niftymidcap150|midcap
HAL,Hindustan Aeronautics Limited,INE066F01020,NSE,EQ,,Aerospace & Defense,nifty100|nifty500|largecap
HAPPSTMNDS,Happiest Minds Technologies Limited,INE419U01012,NSE,EQ,,Computers - Software & Consulting,niftymicrocap250|smallcap
HAVELLS,Havells India Limited,INE176B01034,NSE,EQ,,Consumer Electronics,nifty500|niftymidcap150|midcap
HBLENGINE,HBL Engineering Limited,INE292B01021,NSE,EQ,,Other Industrial Products,nifty500|niftysmallcap250|midcap
HCC,Hindustan Construction Company Limited,INE549A01026,NSE,EQ,,Civil Construction,niftymicrocap250|smallcap
HCG,Healthcare Global Enterprises Limited,INE075I01017,NSE,EQ,,Hospital,niftymicrocap250|smallcap
HCLTECH,HCL Technologies Limited,INE860A01027,NSE,EQ,,Computers - Software & Consulting,nifty50|nifty100|nifty500|largecap
HDBFS,HDB Financial Services Limited,INE756I01012,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|niftymidcap150|midcap
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,NSE,EQ,,Asset Management Company,nifty100|nifty500|largecap
HDFCBANK,HDFC Bank Limited,INE040A01034,NSE,EQ,,Private Sector Bank,nifty50|nifty100|nifty500|largecap
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,NSE,EQ,,Life Insurance,nifty50|nifty100|nifty500|largecap
HEG,HEG Limited,INE545A01024,NSE,EQ,,Electrodes & Refractories,nifty500|niftysmallcap250|midcap
HEMIPROP,Hemisphere Properties India Limited,INE0AJG01018,NSE,EQ,,Diversified Commercial Services,niftymicrocap250|smallcap
HERITGFOOD,Heritage Foods Limited,INE978A01027,NSE,EQ,,Dairy Products,niftymicrocap250|smallcap
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,NSE,EQ,,2/3 Wheelers,nifty500|niftymidcap150|midcap
HEXT,Hexaware Technologies Limited,INE093A01041,NSE,EQ,,Computers - Software & Consulting,nifty500|niftymidcap150|midcap
HFCL,HFCL Limited,INE548A01028,NSE,EQ,,Telecom - Infrastructure,nifty500|niftysmallcap250|midcap
HGINFRA,H.G. Infra Engineering Limited,INE926X01010,NSE,EQ,,Civil Construction,niftymicrocap250|smallcap
HINDALCO,Hindalco Industries Limited,INE038A01020,NSE,EQ,,Aluminium,nifty50|nifty100|nifty500|largecap
HINDCOPPER,Hindustan Copper Limited,INE531E01026,NSE,EQ,,Copper,nifty500|niftysmallcap250|midcap
HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,NSE,EQ,,Refineries & Marketing,nifty500|niftymidcap150|midcap
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,NSE,EQ,,Diversified FMCG,nifty50|nifty100|nifty500|largecap
HINDZINC,Hindustan Zinc Limited,INE267A01025,NSE,EQ,,Zinc,nifty100|nifty500|largecap
HOMEFIRST,Home First Finance Company India Limited,INE481N01025,NSE,EQ,,Housing Finance Company,nifty500|niftysmallcap250|midcap
HONASA,Honasa Consumer Limited,INE0J5401028,NSE,EQ,,Personal Care,nifty500|niftysmallcap250|midcap
HONAUT,Honeywell Automation India Limited,INE671A01010,NSE,EQ,,Industrial Products,nifty500|niftymidcap150|midcap
HSCL,Himadri Speciality Chemical Limited,INE019C01026,NSE,EQ,,Carbon Black,nifty500|niftysmallcap250|midcap
HUDCO,Housing & Urban Development Corporation Limited,INE031A01017,NSE,EQ,,Financial Institution,nifty500|niftymidcap150|midcap
HYUNDAI,Hyundai Motor India Limited,INE0V6F01027,NSE,EQ,,Passenger Cars & Utility Vehicles,nifty100|nifty500|largecap
ICICIAMC,ICICI Prudential Asset Management Company Limited,INE346A01027,NSE,EQ,,Asset Management Company,nifty500|niftymidcap150|midcap
ICICIBANK,ICICI Bank Limited,INE090A01021,NSE,EQ,,Private Sector Bank,nifty50|nifty100|nifty500|largecap
ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,NSE,EQ,,General Insurance,nifty500|niftymidcap150|midcap
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INE726G01019,NSE,EQ,,Life Insurance,nifty500|niftymidcap150|midcap
ICIL,Indo Count Industries Limited,INE483B01026,NSE,EQ,,Other Textile Products,niftymicrocap250|smallcap
IDBI,IDBI Bank Limited,INE008A01015,NSE,EQ,,Private Sector Bank,nifty500|niftysmallcap250|midcap
IDEA,Vodafone Idea Limited,INE669E01016,NSE,EQ,,Telecom - Cellular & Fixed line services,nifty500|niftymidcap150|midcap
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,NSE,EQ,,Private Sector Bank,nifty500|niftymidcap150|midcap
IEX,Indian Energy Exchange Limited,INE022Q01020,NSE,EQ,,Exchange and Data Platform,nifty500|niftysmallcap250|midcap
IFBIND,IFB Industries Limited,INE559A01017,NSE,EQ,,Household Appliances,niftymicrocap250|smallcap
IFCI,IFCI Limited,INE039A01010,NSE,EQ,,Financial Institution,nifty500|niftysmallcap250|midcap
IGIL,International Gemmological Institute (India) Limited,INE0Q9301021,NSE,EQ,,Diversified Commercial Services,nifty500|niftysmallcap250|midcap
IGL,Indraprastha Gas Limited,INE203G01027,NSE,EQ,,LPG/CNG/PNG/LNG Supplier,nifty500|niftysmallcap250|midcap
IIFL,IIFL Finance Limited,INE530B01024,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|niftysmallcap250|midcap
IIFLCAPS,IIFL Capital Services Limited,INE489L01022,NSE,EQ,,Stockbroking & Allied,niftymicrocap250|smallcap
IKS,Inventurus Knowledge Solutions Limited,INE115Q01022,NSE,EQ,,IT Enabled Services,nifty500|niftysmallcap250|midcap
IMFA,Indian Metals & Ferro Alloys Limited,INE919H01018,NSE,EQ,,Ferro & Silica Manganese,niftymicrocap250|smallcap
INDGN,Indegene Limited,INE065X01017,NSE,EQ,,Healthcare Research Analytics & Technology,nifty500|niftysmallcap250|midcap
INDHOTEL,The Indian Hotels Company Limited,INE053A01029,NSE,EQ,,Hotels & Resorts,nifty100|nifty500|largecap
INDIACEM,The India Cements Limited,INE383A01012,NSE,EQ,,Cement & Cement Products,nifty500|niftysmallcap250|midcap
INDIAGLYCO,India Glycols Limited,INE560A01023,NSE,EQ,,Breweries & Distilleries,niftymicrocap250|smallcap
INDIAMART,Indiamart Intermesh Limited,INE933S01016,NSE,EQ,,Internet & Catalogue Retail,nifty500|niftysmallcap250|midcap
INDIANB,Indian Bank,INE562A01011,NSE,EQ,,Public Sector Bank,nifty500|niftymidcap150|midcap
INDIASHLTR,India Shelter Finance Corporation Limited,INE922K01024,NSE,EQ,,Housing Finance Company,niftymicrocap250|smallcap
INDIGO,InterGlobe Aviation Limited,INE646L01027,NSE,EQ,,Airline,nifty50|nifty100|nifty500|largecap
INDIGOPNTS,Indigo Paints Limited,INE09VQ01012,NSE,EQ,,Paints,niftymicrocap250|smallcap
INDUSINDBK,IndusInd Bank Limited,INE095A01012,NSE,EQ,,Private Sector Bank,nifty500|niftymidcap150|midcap
INDUSTOWER,Indus Towers Limited,INE121J01017,NSE,EQ,,Telecom - Infrastructure,nifty500|niftymidcap150|midcap
INFY,Infosys Limited,INE009A01021,NSE,EQ,,Computers - Software & Consulting,nifty50|nifty100|nifty500|largecap
INOXGREEN,Inox Green Energy Services Limited,INE510W01014,NSE,EQ,,Diversified Commercial Services,niftymicrocap250|smallcap
INOXINDIA,INOX India Limited,INE616N01034,NSE,EQ,,Other Industrial Products,niftymicrocap250|smallcap
INOXWIND,Inox Wind Limited,INE066P01011,NSE,EQ,,Heavy Electrical Equipment,nifty500|niftysmallcap250|midcap
INTELLECT,Intellect Design Arena Limited,INE306R01017,NSE,EQ,,Computers - Software & Consulting,nifty500|niftysmallcap250|midcap
